City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Houston,US,66.0,broken clouds,29.76,-95.36,"Hotel ICON, Autograph Collection"
386,Oranjestad,AW,84.2,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
387,Sibolga,ID,80.35,light rain,1.74,98.78,Hotel Syariah CN Darussalam
390,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
392,Valparai,IN,78.8,mist,10.37,76.97,Silver Rock Cottages
395,Kalabo,ZM,71.98,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
397,Tacoronte,ES,73.99,clear sky,28.48,-16.41,Haciendas del Valle - Casa San Miguel
398,Oriximina,BR,81.77,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
401,Sabya,SA,82.4,few clouds,17.15,42.63,Aseel Hotel Apartment
402,Santa Cruz De Tenerife,ES,73.4,clear sky,28.47,-16.25,Hotel Silken Atlántida Santa Cruz
404,Acarau,BR,78.78,scattered clouds,-2.89,-40.12,castelo pizzaria
407,Marang,MY,82.4,few clouds,5.21,103.21,DBarakah Homestay
409,Kasulu,TZ,66.36,overcast clouds,-4.58,30.1,Capital Lodge
413,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.17,Hotel Cortez
414,Tura,IN,73.09,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
415,Itupiranga,BR,78.21,clear sky,-5.13,-49.33,JAIRO ORLINDO VIEIRA
416,Douentza,ML,76.17,few clouds,15.0,-2.95,Ogomono Doumbo
420,Lagos,NG,80.6,thunderstorm,6.58,3.75,
426,Trinidad,BO,73.53,few clouds,-14.83,-64.9,Hotel Piesta
428,Alyangula,AU,89.6,clear sky,-13.85,136.42,Groote Eylandt Lodge
429,Da Nang,VN,80.6,scattered clouds,16.07,108.22,Grand Mercure Danang
430,Raga,SS,72.12,scattered clouds,8.46,25.68,
431,Kirakira,SB,86.52,light rain,-10.45,161.92,SanBiz Lodge
434,Alugan,PH,84.36,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
440,Naliya,IN,76.5,few clouds,23.27,68.83,Hotel Panchvati
442,Galesong,ID,85.24,light rain,-5.32,119.37,Sapriadi Appy
443,Bonthe,SL,77.43,moderate rain,7.53,-12.51,Bonthe Holiday Village
447,Mabaruma,GY,78.46,overcast clouds,8.2,-59.78,
448,Lingao,CN,76.78,scattered clouds,19.91,109.69,Lingao Ditai Inn
451,Lorengau,PG,85.84,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
452,Santa Marta,CO,79.0,moderate rain,11.24,-74.2,Hotel La Ballena Azul
453,Jardim De Piranhas,BR,79.09,scattered clouds,-6.38,-37.35,AP da NIL
454,Kasongo-Lunda,CD,69.73,light rain,-6.47,16.82,
456,Nanning,CN,71.6,light rain,22.82,108.32,Nanning Travelling With Hostel
460,Tondi,IN,81.7,overcast clouds,9.73,79.02,Star Lodge
465,Martapura,ID,87.1,overcast clouds,-3.42,114.85,Montana Hotel Syariah
466,Naigarhi,IN,70.2,clear sky,24.78,81.78,Fulwari Mandir
468,Wanning,CN,77.81,few clouds,18.8,110.4,Paradise Hotel
470,Grand-Santi,GF,77.43,broken clouds,4.25,-54.38,Hotel La Villa Couacou
471,Mandiana,GN,74.35,overcast clouds,10.63,-8.68,La maison De Metre Malick
474,Tshikapa,CD,68.77,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
477,Hervey Bay,AU,88.0,clear sky,-25.3,152.85,Shelly Bay Resort
480,Port Blair,IN,82.35,scattered clouds,11.67,92.75,Fortune Resort Bay Island
482,Bechem,GH,70.68,scattered clouds,7.09,-2.02,Orange Hotel
483,Launceston,AU,70.0,broken clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
487,Puerto Leguizamo,CO,72.97,moderate rain,-0.19,-74.78,la casona de juancho
488,Kainantu,PG,74.3,light rain,-6.29,145.87,Nasuke GUEST House
489,Paungde,MM,79.02,scattered clouds,18.48,95.5,Shwe Eain Matt highly cool guest house
490,Namatanai,PG,86.59,few clouds,-3.67,152.43,Namatanai Hotel
491,Vanimo,PG,84.36,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
493,Curvelo,BR,67.06,overcast clouds,-18.76,-44.43,Pontal Plaza Hotel
494,Sambava,MG,66.45,clear sky,-14.27,50.17,Melrose
496,Tuy Hoa,VN,80.08,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
497,Rincon,US,66.2,overcast clouds,32.3,-81.24,Bent tree subdivision
498,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
499,California City,US,71.6,clear sky,35.13,-117.99,Best Western California City Inn & Suites
501,Sola,VU,81.48,broken clouds,-13.88,167.55,Ulkel Guest House
502,Shingu,JP,69.8,broken clouds,33.73,135.98,Shingu UI Hotel
506,Maragogi,BR,76.64,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
509,Mubi,NG,73.36,clear sky,10.27,13.26,Hotel
511,Thinadhoo,MV,83.35,overcast clouds,0.53,72.93,
515,Kempsey,AU,77.0,broken clouds,-31.08,152.83,Park Drive Motel
516,Purwodadi,ID,80.62,broken clouds,-7.09,110.92,OYO 1620 Sion Family Residence
517,Sabang,ID,82.4,overcast clouds,5.89,95.32,Hotel Citra
523,Uvira,CD,74.12,overcast clouds,-3.41,29.15,Auberge Eden City
524,Makakilo City,US,86.0,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
525,Coahuayana,MX,75.2,mist,18.73,-103.68,Hotel Los Arcos
526,Araceli,PH,83.52,overcast clouds,10.55,119.99,JBryan Traveler's Inn
530,Merida,MX,78.8,broken clouds,20.97,-89.62,Fiesta Americana Mérida
531,Oussouye,SN,79.63,clear sky,12.48,-16.55,Auberge du Routard
533,El Estor,GT,74.23,light rain,15.53,-89.35,Chalet Castillo
534,Boa Vista,BR,82.4,light rain,2.82,-60.67,Aipana Plaza Hotel
535,Mogok,MM,72.66,broken clouds,22.92,96.5,MOGOK HILL HOTEL
536,Gat,IL,72.0,overcast clouds,31.61,34.76,OlusHome
539,Savelugu,GH,78.37,clear sky,9.62,-0.83,Yoo Naa's Palace
541,Redlands,US,82.4,broken clouds,34.06,-117.18,Dynasty Suites Redlands
542,San Andres,CO,81.84,overcast clouds,12.58,-81.7,Hotel Arena Blanca
544,Luganville,VU,84.2,few clouds,-15.53,167.17,The Espiritu Hotel
545,Inhambane,MZ,72.54,broken clouds,-23.86,35.38,Oceano
547,Sembakung,ID,83.82,overcast clouds,3.82,117.25,
548,Tanout,NE,74.43,clear sky,14.97,8.89,
551,Benguela,AO,76.8,overcast clouds,-12.58,13.41,Hotel Praia Morena
554,Port Macquarie,AU,77.0,few clouds,-31.43,152.92,Rydges Port Macquarie
557,Nabire,ID,86.81,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
558,Gurupi,BR,72.63,overcast clouds,-11.73,-49.07,Via Norte Hotel
560,Mbandaka,CD,71.17,few clouds,0.05,18.26,Guest House Epervier
561,Kinshasa,CD,78.8,scattered clouds,-4.32,15.32,Kabinda Center
563,Kaeo,NZ,79.0,clear sky,-35.1,173.78,Bushido Lodge
564,Caucasia,CO,76.51,moderate rain,7.99,-75.19,Hotel San Rafael
567,Tolaga Bay,NZ,73.92,overcast clouds,-38.37,178.3,Tolaga Bay Motel
568,Merauke,ID,86.56,broken clouds,-8.47,140.33,
572,Caxito,AO,77.0,broken clouds,-8.58,13.66,
573,Namie,JP,66.0,overcast clouds,37.48,141.0,いこいの村なみえ(福島県)
574,Bourail,NC,85.03,clear sky,-21.57,165.48,Nekweta
576,Bhuj,IN,75.54,clear sky,23.27,69.67,Regenta Resort Bhuj
581,Ceres,US,71.6,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
582,San Cristobal,VE,68.23,moderate rain,7.77,-72.22,Pirineos
583,Pemangkat,ID,82.45,overcast clouds,1.17,108.97,Kost H.Syamsuddin
584,Pokhara,NP,73.26,scattered clouds,28.23,83.98,Hotel View Point
585,Quatre Cocos,MU,68.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
587,Snyder,US,68.0,clear sky,32.72,-100.92,Holiday Inn Express & Suites Snyder
588,Sao Felix Do Xingu,BR,73.15,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
589,Harper,LR,77.49,broken clouds,4.38,-7.72,Screensaver
590,Nelson Bay,AU,68.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
593,Pecos,US,66.2,clear sky,31.42,-103.49,Knights Inn Pecos
598,Rawson,AR,71.29,clear sky,-43.3,-65.1,Hotel Punta León
599,Puerto Baquerizo Moreno,EC,68.63,broken clouds,-0.9,-89.6,Hotel los Algarrobos
608,Myrtle Beach,US,66.0,broken clouds,33.69,-78.89,Bay View Resort Myrtle Beach
610,Amapa,BR,77.14,clear sky,1.0,-52.0,
611,Kokopo,PG,85.24,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
613,Half Moon Bay,US,66.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
617,Manalongon,PH,86.0,broken clouds,9.22,122.89,Storm's Resort and Country Club
620,That Phanom,TH,82.99,mist,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
621,Acari,PE,65.84,broken clouds,-15.43,-74.62,Hospedaje Ximens
622,Gisborne,NZ,73.99,overcast clouds,-38.65,178.0,ASURE Alfresco Motor Lodge
624,Mindelo,CV,75.2,scattered clouds,16.89,-24.98,Hotel Gaudi
627,Monitos,CO,75.87,overcast clouds,8.25,-76.05,Finca Aleman Gonzalez
629,Blenheim,NZ,73.99,clear sky,-41.52,173.95,Knightsbridge Court Motor Lodge
631,Tambun,ID,90.0,few clouds,-6.26,107.07,@HOM Premiere Tambun
633,Marsh Harbour,BS,79.84,few clouds,26.54,-77.06,Abaco Beach Resort
636,Samarai,PG,83.01,overcast clouds,-10.62,150.67,Nuli Sapi
637,Labuhan,ID,76.59,light rain,-6.88,112.21,bador sepret
639,Clovis,US,75.2,haze,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
640,Obo,CF,68.7,light rain,5.4,26.49,
645,Puerto Del Rosario,ES,71.6,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
646,Miranda,CO,67.3,light rain,3.25,-76.23,Parqueadero toño lasso
648,Ha Tinh,VN,73.76,overcast clouds,18.33,105.9,Phú Quý
650,Cap Malheureux,MU,68.0,shower rain,-19.98,57.61,Pereybere Hotel & Spa
652,Rafai,CF,69.6,light rain,4.95,23.92,
653,Prado,BR,72.88,heavy intensity rain,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
654,Sampit,ID,88.25,scattered clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
657,Natal,BR,78.8,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
658,Kasongo,CD,65.84,scattered clouds,-4.45,26.67,Guest Hôtel
