City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Shadegan,IR,30.65,48.66,62.6,55,0,1.05,clear sky
250,Port Lincoln,AU,-34.73,135.87,62.71,70,2,13.69,clear sky
251,Tartus,SY,34.89,35.89,69.01,77,40,3.36,scattered clouds
252,Paracuru,BR,-3.41,-39.03,80.01,78,85,18.01,overcast clouds
253,Alta Floresta,BR,-9.88,-56.09,74.3,84,67,2.33,broken clouds
254,Port Keats,AU,-14.25,129.55,92.53,48,0,7.87,clear sky
255,Kodiak,US,57.79,-152.41,37.4,37,1,10.29,clear sky
256,Palmer,US,42.16,-72.33,30.0,100,1,3.44,clear sky
257,Hirara,JP,24.8,125.28,75.2,88,75,10.29,broken clouds
258,Belaya Gora,RU,68.53,146.42,-3.96,91,94,4.52,overcast clouds
259,Navirai,BR,-23.07,-54.19,66.87,74,0,2.1,clear sky
260,Port Elizabeth,ZA,-33.92,25.57,64.4,82,75,8.05,broken clouds
261,Anito,PH,12.45,125.29,84.16,78,100,6.69,light rain
262,Bam,IR,29.11,58.36,52.59,43,0,3.6,clear sky
263,Portland,US,45.52,-122.68,54.0,78,56,5.12,broken clouds
264,Murdochville,CA,48.96,-65.5,28.4,50,0,6.93,clear sky
265,Akureyri,IS,65.68,-18.09,37.4,86,90,7.05,drizzle
266,Basoko,CD,1.24,23.62,71.24,93,97,0.47,moderate rain
267,Adrar,MR,20.5,-10.07,78.33,18,54,10.18,broken clouds
268,Krasnyy Chikoy,RU,50.36,108.75,18.36,86,100,12.5,overcast clouds
269,Stokmarknes,NO,68.56,14.91,45.0,57,62,8.01,broken clouds
270,Altay,CN,47.87,88.12,28.15,78,0,2.24,clear sky
271,Ixtapa,MX,20.7,-105.2,84.2,79,90,5.82,overcast clouds
272,Prainha,BR,-1.8,-53.48,81.73,48,0,3.94,clear sky
273,Dakar,SN,14.69,-17.44,75.2,94,15,11.41,few clouds
274,Salinas,US,36.68,-121.66,66.2,52,1,6.93,clear sky
275,Billings,US,45.78,-108.5,46.4,39,20,4.85,few clouds
276,North Myrtle Beach,US,33.82,-78.68,60.01,77,1,11.41,clear sky
277,Salalah,OM,17.02,54.09,71.6,37,0,3.36,clear sky
278,Buchanan,LR,5.88,-10.05,77.92,89,81,5.75,light rain
279,Tocopilla,CL,-22.09,-70.2,61.52,61,0,1.68,clear sky
280,Port Hardy,CA,50.7,-127.42,50.0,81,90,6.93,overcast clouds
281,Galle,LK,6.04,80.22,80.08,80,89,5.86,overcast clouds
282,Mao,ES,39.89,4.27,59.0,93,18,2.24,few clouds
283,Hualmay,PE,-11.1,-77.61,61.41,86,78,6.73,broken clouds
284,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,40,4.7,scattered clouds
285,Olafsvik,IS,64.89,-23.71,41.5,81,93,4.47,overcast clouds
286,Santa Cruz Del Sur,CU,20.71,-78.0,79.54,84,5,13.58,clear sky
287,Mango,US,27.98,-82.31,78.8,88,75,10.87,broken clouds
288,Cradock,ZA,-32.16,25.62,54.99,79,60,4.18,broken clouds
289,Auki,SB,-8.77,160.7,83.61,76,53,3.89,light rain
290,Cukai,MY,4.25,103.42,80.6,88,20,2.24,few clouds
291,Aljezur,PT,37.32,-8.8,62.1,80,85,5.91,overcast clouds
292,Sinnamary,GF,5.38,-52.95,80.19,85,68,11.43,broken clouds
293,Mujiayingzi,CN,42.12,118.78,41.07,51,0,14.27,clear sky
294,Santa Catarina De Tepehuanes,MX,25.35,-105.73,60.89,42,0,4.05,clear sky
295,Veraval,IN,20.9,70.37,77.94,46,0,11.18,clear sky
296,Farafenni,GM,13.57,-15.6,78.28,41,85,3.56,overcast clouds
297,Farafangana,MG,-22.82,47.83,65.73,77,77,4.21,broken clouds
298,Upernavik,GL,72.79,-56.15,16.29,95,100,12.75,overcast clouds
299,Moree,AU,-29.47,149.85,77.0,31,0,13.4,clear sky
300,Rosita,NI,13.93,-84.4,76.87,84,100,4.32,overcast clouds
301,Huarmey,PE,-10.07,-78.15,61.95,86,100,5.73,overcast clouds
302,Maraa,BR,-1.83,-65.37,71.82,98,100,2.64,overcast clouds
303,Villazon,BO,-22.09,-65.59,46.11,61,23,11.41,few clouds
304,Puri,IN,19.8,85.85,75.2,88,20,4.7,haze
305,Kruisfontein,ZA,-34.0,24.73,57.99,91,0,3.38,clear sky
306,Grafton,US,42.21,-71.69,28.99,93,0,3.94,clear sky
307,Shaunavon,CA,49.65,-108.42,30.2,63,94,2.24,overcast clouds
308,Broken Hill,AU,-31.95,141.43,69.8,52,0,8.05,clear sky
